player1,player2
76561197967806820,76561198084498792
76561197977652407,76561198084498792
76561197983826623,76561198084498792
76561197993644315,76561198084498792
76561197994424052,76561198084498792
76561198003011395,76561198084498792
76561198039699901,76561198084498792
76561198041008502,76561198084498792
76561198041775601,76561198084498792
76561198046900237,76561198084498792
76561198048276315,76561198084498792
76561198052097817,76561198084498792
76561198055206223,76561198084498792
76561198060502415,76561198084498792
76561198060863495,76561198084498792
76561198064508248,76561198084498792
76561198065705729,76561198084498792
76561198066127782,76561198084498792
76561198069291813,76561198084498792
76561198071849510,76561198084498792
76561198076580890,76561198084498792
76561198080675633,76561198084498792
76561198080756458,76561198084498792
76561198080797117,76561198084498792
76561198084169252,76561198084498792
76561198084498792,76561198097844457
76561198084498792,76561198129306809
76561198084498792,76561198129552149
76561198084498792,76561198136744672
76561198084498792,76561198137249393
76561198084498792,76561198137591598
76561198084498792,76561198141544339
76561198084498792,76561198142441445
76561198084498792,76561198151363736
76561198084498792,76561198167387466
76561198084498792,76561198175521997
76561198084498792,76561198211644904
76561198084498792,76561198223065964
76561198084498792,76561198254066999
76561198084498792,76561198272440910
76561198084498792,76561198303763545
76561198084498792,76561198349780819
76561198084498792,76561198420457089
76561198084498792,76561198854525509
76561198084498792,76561198855574952
76561198084498792,76561198876167336
76561198084498792,76561199011025521
76561198084498792,76561199159833928
76561198084498792,76561199491882806
76561198015279110,76561198177103731
76561198137569477,76561198177103731
76561198139891828,76561198177103731
76561198177103731,76561198203344388
76561198177103731,76561198241252832
76561198177103731,76561198243286124
76561198177103731,76561198261999637
76561198177103731,76561198341851002
76561198177103731,76561198439704352
76561198177103731,76561198443034171
76561198177103731,76561199494802501
76561198177103731,76561199866414675
76561197979214656,76561198066127782
76561198000382014,76561198066127782
76561198010983837,76561198066127782
76561198013243203,76561198066127782
76561198013369728,76561198066127782
76561198016947595,76561198066127782
76561198018806816,76561198066127782
76561198026255767,76561198066127782
76561198026289974,76561198066127782
76561198031245105,76561198066127782
76561198032039210,76561198066127782
76561198035217474,76561198066127782
76561198036617995,76561198066127782
76561198038509832,76561198066127782
76561198038992859,76561198066127782
76561198039699901,76561198066127782
76561198041143338,76561198066127782
76561198041318213,76561198066127782
76561198041775601,76561198066127782
76561198043541869,76561198066127782
76561198047910356,76561198066127782
76561198051008609,76561198066127782
76561198051016398,76561198066127782
76561198052988801,76561198066127782
76561198055758357,76561198066127782
76561198058654693,76561198066127782
76561198060863495,76561198066127782
76561198061020471,76561198066127782
76561198063021055,76561198066127782
76561198064783171,76561198066127782
76561198065705729,76561198066127782
76561198065980184,76561198066127782
76561198066127782,76561198071849510
76561198066127782,76561198078138962
76561198066127782,76561198078214123
76561198066127782,76561198079112644
76561198066127782,76561198079180391
76561198066127782,76561198080756458
76561198066127782,76561198087685763
76561198066127782,76561198098238946
76561198066127782,76561198116381067
76561198066127782,76561198119802895
76561198066127782,76561198126280112
76561198066127782,76561198142232108
76561198066127782,76561198142441445
76561198066127782,76561198164337204
76561198066127782,76561198192086347
76561198066127782,76561198196776047
76561198066127782,76561198238205132
76561198066127782,76561198303763545
76561198066127782,76561198305115437
76561198066127782,76561198309073411
76561198066127782,76561198310897491
76561198066127782,76561198313686346
76561198066127782,76561198349780819
76561198066127782,76561198371923233
76561198066127782,76561198420457089
76561198066127782,76561198437537362
76561198066127782,76561198882589501
76561198066127782,76561199041572450
76561198066127782,76561199066862812
76561198066127782,76561199110805586
76561198047552275,76561198214557257
76561198058587732,76561198214557257
76561198061291431,76561198214557257
76561198090273515,76561198214557257
76561198090918324,76561198214557257
76561198104458682,76561198214557257
76561198145874588,76561198214557257
76561198165216147,76561198214557257
76561198165551827,76561198214557257
76561198178119318,76561198214557257
76561198214557257,76561198219033313
76561198214557257,76561198237862572
76561198214557257,76561198278897623
76561198214557257,76561198301646583
76561198214557257,76561198337234147
76561198214557257,76561198340327602
76561198214557257,76561198816953422
76561198214557257,76561198838061098
76561198214557257,76561199174634763
76561198214557257,76561199249187334
76561197960265751,76561197991899002
76561197960265916,76561197991899002
76561197960276281,76561197991899002
76561197960327485,76561197991899002
76561197960330502,76561197991899002
76561197960357189,76561197991899002
76561197960377350,76561197991899002
76561197960381818,76561197991899002
76561197960410538,76561197991899002
76561197960434622,76561197991899002
76561197960435530,76561197991899002
76561197960508417,76561197991899002
76561197960568847,76561197991899002
76561197960794555,76561197991899002
76561197960918264,76561197991899002
76561197960951084,76561197991899002
76561197961108628,76561197991899002
76561197961298542,76561197991899002
76561197961408648,76561197991899002
76561197961420203,76561197991899002
76561197961786669,76561197991899002
76561197961963491,76561197991899002
76561197963461450,76561197991899002
76561197963728455,76561197991899002
76561197964008314,76561197991899002
76561197964093969,76561197991899002
76561197964607739,76561197991899002
76561197965656609,76561197991899002
76561197967652039,76561197991899002
76561197967653490,76561197991899002
76561197967653654,76561197991899002
76561197967875912,76561197991899002
76561197968406363,76561197991899002
76561197968459473,76561197991899002
76561197968467409,76561197991899002
76561197968567369,76561197991899002
76561197968570218,76561197991899002
76561197968664373,76561197991899002
76561197968781961,76561197991899002
76561197969155684,76561197991899002
76561197969650641,76561197991899002
76561197969749586,76561197991899002
76561197969917421,76561197991899002
76561197969993471,76561197991899002
76561197970202048,76561197991899002
76561197970323416,76561197991899002
76561197970557331,76561197991899002
76561197970565175,76561197991899002
76561197970640653,76561197991899002
76561197970948899,76561197991899002
76561197970961357,76561197991899002
76561197970966905,76561197991899002
76561197971026489,76561197991899002
76561197971139463,76561197991899002
76561197971292977,76561197991899002
