id,type,bipartite_set,label,game_name,is_target,degree
76561198067535870,player,0,Player_535870,,False,166
76561198062186485,player,0,Player_186485,,False,104
76561198066537026,player,0,Player_537026,,False,214
76561198188902922,player,0,Player_902922,,False,170
76561198196181970,player,0,Player_181970,,False,287
76561198142181899,player,0,Player_181899,,False,144
76561198053384504,player,0,Player_384504,,False,212
76561198276517839,player,0,Player_517839,,False,63
76561198050177780,player,0,Player_177780,,False,229
76561198081026487,player,0,Player_026487,,False,248
76561198146616247,player,0,Player_616247,,False,58
76561198086970753,player,0,Player_970753,,False,217
76561197982789265,player,0,Player_789265,,False,92
76561198097609744,player,0,Player_609744,,False,77
76561198299449239,player,0,Player_449239,,False,113
76561197997226434,player,0,Player_226434,,False,500
76561198850127639,player,0,Player_127639,,False,409
76561198122915622,player,0,Player_915622,,False,406
76561199032849141,player,0,Player_849141,,False,74
76561198113720893,player,0,Player_720893,,False,141
76561198223215884,player,0,Player_215884,,False,180
76561198211215685,player,0,Player_215685,,False,75
76561198365645513,player,0,Player_645513,,False,309
76561199212286722,player,0,Player_286722,,False,208
76561198104550331,player,0,Player_550331,,False,168
76561198065261001,player,0,Player_261001,,False,221
76561198077240913,player,0,Player_240913,,False,304
76561198128297281,player,0,Player_297281,,False,136
76561198016480651,player,0,Player_480651,,False,159
76561198090038001,player,0,Player_038001,,False,1007
76561198180269890,player,0,Player_269890,,False,239
76561198090478515,player,0,Player_478515,,False,122
76561198077114109,player,0,Player_114109,,False,583
76561198144733333,player,0,Player_733333,,False,85
76561198000097647,player,0,Player_097647,,False,106
76561198318994267,player,0,Player_994267,,False,200
76561198157684294,player,0,Player_684294,,False,198
76561198049993125,player,0,Player_993125,,False,117
76561198340402507,player,0,Player_402507,,False,164
76561198049035992,player,0,Player_035992,,False,371
76561198094652487,player,0,Player_652487,,False,186
76561198031286432,player,0,Player_286432,,False,90
76561198196385066,player,0,Player_385066,,False,108
76561198033592575,player,0,Player_592575,,False,231
76561198074032634,player,0,Player_032634,,False,194
76561197980161167,player,0,Player_161167,,False,681
76561198029481770,player,0,Player_481770,,False,203
76561198183948877,player,0,Player_948877,,False,256
76561198111967972,player,0,Player_967972,,False,41
76561198085382379,player,0,Player_382379,,False,248
76561198143428272,player,0,Player_428272,,False,328
76561198028212099,player,0,Player_212099,,False,1715
76561198153263957,player,0,Player_263957,,False,130
76561198893558537,player,0,Player_558537,,False,100
76561198092642438,player,0,Player_642438,,False,404
